Hour,C1,C2,C3,C4,C5
2741,11,106.5085994646498,1115.09,68,156.5085994646498
2742,12,108.4582844124741,1116.319,68,158.4582844124741
2743,11,109.861754599609,1110.594,65,159.861754599609
2744,10,111.4434323250894,1146.081,59,161.4434323250894
2745,11,112.5829187017791,1205.999,50,162.5829187017791
2746,7,109.1497532246576,1182.126,41,159.1497532246576
2747,5,110.1983946121849,1183.797,36,160.1983946121849
2748,6,108.6450094009834,1154.474,29,158.6450094009834
2749,6,108.5788009983911,1184.14,26,158.578800998391
2750,5,108.0375557671416,1196.904,22,158.0375557671416
2751,8,107.1597291177097,1239.743,28,157.1597291177097
2752,7,106.4941659137629,1267.326,26,156.4941659137629
2753,10,107.1174345972309,1246.302,31,157.117434597231
2754,10,107.7114396700609,1296.962,26,157.7114396700609
2755,11,107.3697615061576,1336.398,39,157.3697615061576
2756,10,106.7829382937614,1311.311,49,156.7829382937614
2757,10,106.985266183949,1289.505,36,156.985266183949
2758,6,107.455961711714,1286.376,40,157.455961711714
2759,6,105.4362374961005,1261.493,46,155.4362374961005
2760,4,107.3848650869535,1209.815,42,157.3848650869535
2761,4,106.9965912116559,1161.06,44,156.9965912116559
2762,4,106.5572456173737,1146.351,46,156.5572456173737
2763,6,109.3698011467296,1185.583,50,159.3698011467296
2764,5,110.6488361723803,1211.388,58,160.6488361723803
2765,11,118.9295893911716,1226.604,74,168.9295893911716
2766,13,126.0022171902665,1249.582,70,176.0022171902665
2767,11,128.8336502626063,1223.681,63,178.8336502626063
2768,11,128.5962262637798,1239.977,70,178.5962262637798
2769,12,118.6332248691722,1294.334,54,168.6332248691722
2770,10,125.2289885402281,1341.163,52,175.2289885402281
2771,12,124.4072674118336,1300.644,39,174.4072674118336
2772,7,124.4865156644421,1189.132,37,174.4865156644421
2773,6,123.418381069954,1259.387,37,173.418381069954
2774,6,120.9651513692897,1240.407,31,170.9651513692897
