thermal_demand,electricity_price,co2_price,gas_price
0.269396352,261.41,81.52,89.824
0.249389798,243.62,81.52,89.824
0.207417014,220.1,81.52,89.824
0.143098633,212.85,81.52,89.824
0.136880671,209.41,81.52,89.824
0.139512185,225.92,81.52,89.824
0.142454643,216,81.52,89.824
0.148987961,189.49,81.52,89.824
0.165246254,181.98,81.52,89.824
0.206511011,174.98,81.52,89.824
0.284176109,165.91,81.52,89.824
0.336247182,118.71,81.52,89.824
0.314834274,119.45,81.52,89.824
0.290739838,125.86,81.52,89.824
0.270703591,129.46,81.52,89.824
0.249698995,125.99,81.52,89.824
0.237635903,131.83,81.52,89.824
0.231268507,123.01,81.52,89.824
0.231404202,122.49,81.52,89.824
0.234295261,102.67,81.52,89.824
0.241405351,121.95,81.52,89.824
0.254001478,115,81.52,89.824
0.271217032,125.42,81.52,89.824
0.282238908,112.4,81.52,89.824
0.269396352,97.49,81.52,89.824
0.249389798,90.14,81.52,89.824
0.207417014,97.09,81.52,89.824
0.143098633,93.85,81.52,89.824
0.136880671,87.2,81.52,89.824
0.131751677,78.08,81.52,90.021
0.134530457,34,81.52,90.021
0.140700353,12.33,81.52,90.021
0.156054262,10.09,81.52,90.021
0.195023624,12.83,81.52,90.021
0.268368522,36.16,81.52,90.021
0.317543088,92.03,81.52,90.021
0.297321295,102.8,81.52,90.021
0.274567137,126,81.52,90.021
0.255645426,100.9,81.52,90.021
0.235809233,112.03,81.52,90.021
0.224417163,111.25,81.52,90.021
0.218403959,100.58,81.52,90.021
0.218532107,111.65,81.52,90.021
0.221262347,127.38,81.52,90.021
0.227976931,168.85,81.52,90.021
0.239872386,199.85,81.52,90.021
0.256130307,249.99,81.52,90.021
0.26653908,254.37,81.52,90.021
0.254410904,237.28,81.52,90.021
0.235517235,220,81.52,90.021
0.19587923,215.94,81.52,90.021
0.135138625,209.16,81.52,90.021
0.129266544,180,81.52,90.021
0.12371976,188.94,81.52,80.637
0.126329139,192.68,81.52,80.637
0.132122902,180.09,81.52,80.637
0.146540798,188.09,81.52,80.637
0.183134488,193.99,81.52,80.637
0.252008094,205.07,81.52,80.637
0.298184854,229.1,81.52,80.637
0.279195833,273.71,81.52,80.637
0.257828826,294.4,81.52,80.637
0.240060631,290.64,81.52,80.637
0.221433703,275.4,81.52,80.637
0.210736122,265.1,81.52,80.637
0.205089499,250,81.52,80.637
0.205209834,244.27,81.52,80.637
0.207773632,243.02,81.52,80.637
0.214078878,249.22,81.52,80.637
0.225249155,260,81.52,80.637
0.240515952,278,81.52,80.637
0.25029018,276.39,81.52,80.637
0.238901368,255.03,81.52,80.637
0.221159505,237.28,81.52,80.637
0.183937935,224.19,81.52,80.637
0.126900231,190.78,81.52,80.637
0.121386127,175.49,81.52,80.637
0.080533779,169.01,81.52,78.242
0.083124463,163.48,81.52,78.242
0.087932356,162.93,81.52,78.242
0.10228712,160.01,81.52,78.242
0.139037883,163.16,81.52,78.242
0.18588565,165.59,81.52,78.242
0.205402093,198.39,81.52,78.242
0.192821022,227.42,81.52,78.242
0.172956684,261.65,81.52,78.242
0.157313077,252.67,81.52,78.242
0.143987195,221.75,81.52,78.242
0.134547108,193.62,81.52,78.242
0.129526672,170.14,81.52,78.242
0.128114243,160.47,81.52,78.242
